blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
4138 005B,1620 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322663068099999, -76.593753812000003)",03/25/2011
0084 072,813 MCKEAN AVE,HARLEM PARK,9,WESTERN,"(39.298180644299997, -76.646513726099997)",07/20/2008
3322 028,3835 REISTERSTOWN ROAD,PARK CIRCLE,6,NORTHWESTERN,"(39.332514511500001, -76.662658606400001)",07/21/2008
1754 116,247 S DURHAM ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.288229543900002, -76.590765114299998)",06/12/2013
1627 081,717 N BELNORD AVE,MADISON-EASTEND,13,EASTERN,"(39.2995856438, -76.578622379199999)",10/26/2012
4006 012,1915 AISQUITH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312447103499998, -76.602443011399998)",06/25/2007
4018 028,523 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313341831099997, -76.608771307300003)",11/21/2005
7437 014,2208 SIDNEY AVE,WESTPORT,10,SOUTHERN,"(39.2640005405, -76.632671645499997)",02/15/2013
0003 032,1835 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.309572371800002, -76.647540387500001)",08/16/2005
3459 053,2304 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.313842758, -76.631716581500001)",10/01/2009
7095A139,4014 8TH ST,BROOKLYN,10,SOUTHERN,"(39.231332084800002, -76.601738501400007)",09/29/2012
1360 026,921 E BALTIMORE ST,JONESTOWN,12,SOUTHEASTERN,"(39.290166677499997, -76.603497304100003)",04/11/2007
0217 057,10 S ARLINGTON AVE,HOLLINS MARKET,9,SOUTHERN,"(39.288268040799998, -76.635499662100003)",09/24/2010
2530A083,313 MARYDELL ROAD,IRVINGTON,8,SOUTHWESTERN,"(39.281093375200001, -76.689310363100006)",01/13/2011
0125 057,1310 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.294332365599999, -76.639338908599996)",10/19/2012
2450 018,1532 N ELLAMONT ST,ROSEMONT,9,SOUTHWESTERN,"(39.305349960400001, -76.670963062599995)",10/03/2005
0077 022,919 N CALHOUN ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299683215199998, -76.639886851200004)",11/20/2007
5989 001,4401 FRANKFORD AVE,FRANKFORD,2,NORTHEASTERN,"(39.335946229999998, -76.549928598999998)",08/29/2013
4010B018,1233 CLIFTVIEW AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3163270278, -76.597522909999995)",12/15/2008
5173 014,507 BEAUMONT AVE,WINSTON-GOVANS,4,NORTHERN,"(39.351336754499997, -76.608399798099995)",01/29/2010
1590 052,914 N MONTFORD AVE,MILTON-MONTFORD,13,EASTERN,"(39.301267008799996, -76.584111049300006)",08/26/2011
0126 054,1210 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.294425377000003, -76.6378704169)",11/05/2012
3210 111,1925 CLIFTON AVE,MONDAWMIN,7,WESTERN,"(39.3117205199, -76.649025785700005)",03/16/2012
2364A014,2527 CALVERTON HEIGHTS AVE,EVERGREEN LAWN,9,WESTERN,"(39.297394441800002, -76.657318307500006)",03/28/2008
4595 013,3722 OAKMONT AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.3425424725, -76.677816653899995)",09/11/2013
0089 056,814 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.298263419900003, -76.638934109800005)",09/24/2007
0163 082,202 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.290761858499998, -76.645615388699994)",01/09/2006
0036B078,1353 N CALHOUN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.304765729300001, -76.640185890699996)",06/09/2009
2409A062,2900 BRIGHTON ST,NORTHWEST COMMUNITY ACTION,9,SOUTHWESTERN,"(39.3054692503, -76.6660826711)",10/11/2006
1547 039,1102 MCDONOGH ST,MIDDLE EAST,12,EASTERN,"(39.303589707199997, -76.593838622099994)",07/31/2009
1455 013,1619 N MILTON AVE,BEREA,13,EASTERN,"(39.309469001700002, -76.582606972299999)",09/25/2007
4166A011,1620 E 25TH ST,DARLEY PARK,14,EASTERN,"(39.316575739900003, -76.594609153999997)",11/18/2011
0061 038,1029 N MOUNT ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300547668900002, -76.644194804899996)",02/26/2008
1112 031,1624 HOLBROOK ST,OLIVER,12,EASTERN,"(39.308738691400002, -76.603465276199998)",12/28/2012
0008 048,1712 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.308203655, -76.647475509499998)",08/13/2009
0303 078,2234 ETTING ST,DRUID HEIGHTS,7,CENTRAL,"(39.309188824400003, -76.638740300799995)",03/07/2013
1627 042,724 N KENWOOD AVE,MADISON-EASTEND,13,EASTERN,"(39.299565816600001, -76.578342515200006)",01/20/2012
1556 049,2512 E CHASE ST,BIDDLE STREET,13,EASTERN,"(39.303910680000001, -76.581761815500002)",11/20/2008
0452 076,812 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.296344337299999, -76.631469334599998)",11/10/2004
0012 096,1608 N MONROE ST,EASTERWOOD,7,WESTERN,"(39.306858427400002, -76.648239787799994)",01/10/2008
0397 007,1320 MCCULLOH ST,UPTON,11,CENTRAL,"(39.3029237513, -76.628689331800004)",08/24/2011
6439A027,700 S CLINTON ST,CANTON,1,SOUTHEASTERN,"(39.284344199700001, -76.570082457300003)",03/19/2010
0244 067,1724 LEMMON ST,UNION SQUARE,9,SOUTHERN,"(39.285824709400003, -76.644630770099994)",09/30/2011
4138 008A,1638 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322392553900002, -76.593332007200004)",07/23/2008
2165 021,19 N CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288432168200004, -76.656287993299998)",08/30/2007
1659 083,513 N STREEPER ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.297456092300003, -76.577056920900006)",10/04/2007
4099 004,3103 LOCH RAVEN ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323677650400001, -76.601144624599996)",02/01/2012
0452 069,826 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.296333762700002, -76.631848100900001)",06/02/2009
0121 062,1714 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.294123263700001, -76.6445664604)",03/29/2010
0280 008,314 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.284137646799998, -76.639542715900006)",04/27/2012
4575 014,3713 W BELVEDERE AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.345823836599997, -76.680290411200005)",06/25/2010
0393 042A,1327 1/2 MYRTLE AVE,UPTON,11,CENTRAL,"(39.299538976599997, -76.632922813099995)",03/24/2006
1277 027,552 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.297186502800002, -76.603069709400003)",04/30/2012
3312A029,2700 OSWEGO AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.335788057499997, -76.664180235499998)",07/02/2007
1636 011,621 N CASTLE ST,CARE,13,EASTERN,"(39.297929045700002, -76.5884202071)",05/20/2011
0430 035,836 HARLEM AVE,UPTON,11,CENTRAL,"(39.2971626653, -76.631913465799997)",10/15/2007
0083 072,812 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.298137551300002, -76.647747026399998)",04/13/2010
2167B054,2506 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.289100045700003, -76.6568373753)",08/04/2010
7779 002,2534 WASHINGTON BLVD,MORRELL PARK,10,SOUTHWESTERN,"(39.266330758400002, -76.653296433500003)",09/13/2012
2298B007,413 NORMANDY AVE,ALLENDALE,8,SOUTHWESTERN,"(39.292110426299999, -76.681213507600006)",09/25/2013
0176 025,107 N PULASKI ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289840822499997, -76.649912758499994)",08/22/2012
2401A037,1808 BRADDISH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308573101299999, -76.661297812800001)",07/04/2008
1138 109,1414 N BETHEL ST,OLIVER,12,EASTERN,"(39.306785173500003, -76.596187646199994)",11/07/2005
1529 022,1242 N GAY ST,BROADWAY EAST,12,EASTERN,"(39.304945205800003, -76.593398408900001)",08/22/2007
0095 047,707 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2968150552, -76.648874343599999)",10/07/2008
5208 004,1207 E 43RD ST,ORIGINAL NORTHWOOD,3,NORTHEASTERN,"(39.344142550199997, -76.597539995399998)",05/23/2013
0041 042,1141 N FULTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.301896644400003, -76.645602744399994)",06/16/2008
3936 023,2719 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3225826854, -76.590528036199998)",08/22/2012
4164B041,1703 CLIFTVIEW AVE,DARLEY PARK,12,EASTERN,"(39.315103720899998, -76.593747624299994)",02/25/2010
0120 099,1812 LAURETTA AVE,HARLEM PARK,9,WESTERN,"(39.294675486999999, -76.646632307399997)",11/08/2006
1537 004,2416 E BIDDLE ST,BROADWAY EAST,13,EASTERN,"(39.304906027100003, -76.583525603699997)",07/15/2008
1590 065,2308 ASHLAND AVE,MILTON-MONTFORD,13,EASTERN,"(39.301066298599999, -76.584625764799995)",02/14/2011
0121 052,507 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.294158722500001, -76.645236866900007)",09/27/2007
2175 021,2541 HOLLINS ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.286519076499999, -76.657545373800005)",08/16/2007
7987 013,4315 FLOWERTON ROAD,ROGNEL HEIGHTS,8,SOUTHWESTERN,"(39.296351040200001, -76.689867133600004)",05/11/2010
1645 025,2923 E MONUMENT ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.298911583399999, -76.575765685899995)",12/03/2010
3205 009,2101 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.310560082800002, -76.651493350999999)",11/19/2007
3408 029,2548 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.313493065400003, -76.643198009100004)",04/23/2012
0112 042,631 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.296295968899997, -76.639688957299995)",09/08/2006
0271 107,2223 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.283858541800001, -76.652065801199996)",11/10/2010
2178 086,334 TYRONE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2817579138, -76.659054321900001)",09/16/2011
2153 066,37 GORMAN AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.288883849000001, -76.653449161300003)",07/10/2013
0243 037,1840 W PRATT ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.285368077699999, -76.646378570400003)",04/08/2009
3210 051,1921 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.311250983199997, -76.648932770900004)",07/19/2010
4581 007,5012 DENMORE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346834231300001, -76.675557186000006)",10/24/2007
3836B040,404 E 25TH ST,HARWOOD,12,NORTHERN,"(39.318327069799999, -76.610864745300006)",01/11/2011
2311 018,2531 W NORTH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.309144332899997, -76.658385623100003)",03/30/2012
2377B008,603 N FRANKLINTOWN ROAD,MOSHER,9,WESTERN,"(39.294777467300001, -76.663474332999996)",10/30/2006
0014 021,1640 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.307528021000003, -76.646616599699996)",11/27/2012
3420 013,2549 MADISON AVE,RESERVOIR HILL,7,CENTRAL,"(39.314841093200002, -76.639512643399996)",01/25/2007
0313 014,525 BLOOM ST,UPTON,11,CENTRAL,"(39.307255732100003, -76.6373492365)",06/25/2008
3405 026,1614 W NORTH AVE,PENN NORTH,7,WESTERN,"(39.310261240199999, -76.643788185399998)",10/04/2012
3938 004,2707 HUGO AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323284594, -76.588797682899994)",08/15/2012
0430 051,804 HARLEM AVE,UPTON,11,CENTRAL,"(39.297159633699998, -76.631086765299997)",11/11/2004
1570 070,2203 PRENTISS PL,MIDDLE EAST,13,EASTERN,"(39.302816696599997, -76.586721642399993)",09/30/2005
0063 031,1029 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3007757126, -76.641364865599996)",09/30/2011
1484 037,2329 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.308660422099997, -76.584526381000003)",01/18/2013
0204 061,31 S CALVERTON ROAD,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287168220300003, -76.652402899400002)",11/30/2010
2387 012,2750 W LAFAYETTE AVE,MOSHER,9,WESTERN,"(39.298301555899997, -76.662528774400002)",08/26/2008
1446 027,1757 E NORTH AVE,BROADWAY EAST,12,EASTERN,"(39.3119400255, -76.593513312300004)",07/15/2009
3972A021,743 ARGONNE DR,EDNOR GARDENS-LAKESIDE,14,NORTHEASTERN,"(39.336604669400003, -76.604720024800002)",09/26/2012
2170A082,2575 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288678973499998, -76.658294074599993)",07/05/2007
3813 019,323 E 22ND ST,BARCLAY,12,EASTERN,"(39.314149720099998, -76.611897011699995)",06/17/2010
0113 037,625 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.29610916, -76.638253810099997)",03/08/2010
0035 041,1405 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.305239462099998, -76.640986171099996)",03/05/2008
0084 044,811 N MONROE ST,HARLEM PARK,9,WESTERN,"(39.298116247999999, -76.647224500899995)",07/12/2008
2528D029,3817 STOKES DR,EDMONDSON VILLAGE,8,SOUTHWESTERN,"(39.300119336900003, -76.681108380500007)",02/15/2013
2700A008,4001 GROVELAND AVE,WEST ARLINGTON,6,NORTHWESTERN,"(39.340465881299998, -76.685747798500003)",07/19/2013
0094 036,2031 RAYNER AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296699926400002, -76.6503405558)",10/05/2009
0412 007,1212 ARGYLE AVE,UPTON,11,CENTRAL,"(39.298960670600003, -76.631167921499994)",04/01/2011
0112 003,604 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.295663802100002, -76.638793961199994)",12/06/2011
3212 027,2007 N SMALLWOOD ST,MONDAWMIN,7,WESTERN,"(39.311152783600001, -76.652552501700001)",08/08/2006
4607 011,3410 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.342557632899997, -76.673563937099999)",02/08/2012
3173 054,2801 VIOLET AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3296851729, -76.661520969999998)",07/20/2008
1587 022,953 N WASHINGTON ST,MIDDLE EAST,13,EASTERN,"(39.301773431299999, -76.589506160499994)",06/20/2012
2174A014,2426 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.284009801700002, -76.655328873599998)",07/08/2009
1623 017,2319 E MADISON ST,MILTON-MONTFORD,13,EASTERN,"(39.299650743800001, -76.584216488500005)",04/08/2011
0316 021,2037 MCCULLOH ST,DRUID HEIGHTS,11,CENTRAL,"(39.308895933000002, -76.635208710399993)",08/14/2009
4041 045,641 BARTLETT AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.316369780800002, -76.607012213999994)",05/05/2011
1656 082,509 N ROSE ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.297213295399999, -76.581301723400003)",05/08/2013
1473 038,1612 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.309434235399998, -76.5852729259)",02/25/2010
1604 055,806 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.300083894499998, -76.589054185500004)",09/14/2010
0708 051,426 S STRICKER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.282547331899998, -76.640873673300007)",12/11/2006
4132 053,1551 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323133558199999, -76.595263494099996)",08/07/2012
0293 007,1714 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.308959245499999, -76.643279400899999)",07/31/2012
0058 092,1026 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.300606232200003, -76.648734782600002)",03/04/2010
4001 048,1903 BOONE ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312007681799997, -76.607993396300003)",09/15/2009
2165 003,55 N CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.289095793400001, -76.656336096999993)",11/16/2011
4011B017,2010 ROBB ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313371383300002, -76.603504545999996)",10/23/2012
1652 013,2126 JEFFERSON ST,CARE,13,EASTERN,"(39.296730812500002, -76.586696144699999)",08/19/2013
3347D003,2604 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,"(39.337442207700001, -76.661125183300001)",02/14/2004
4178F005,3309 ELMORA AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.315724271599997, -76.576851119300002)",03/28/2013
4171 164,1941 N COLLINGTON AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3135804916, -76.587327930599997)",11/01/2006
0095 092,718 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.297077367599996, -76.648540929500001)",07/15/2011
3003 014,3026 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.309309028400001, -76.668411440900002)",11/29/2007
2307 026,1803 MORELAND AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308671483700003, -76.655635194400006)",05/16/2012
1554 064,2303 E BIDDLE ST,BIDDLE STREET,13,EASTERN,"(39.304488652400003, -76.584649185999993)",05/01/2007
2475D054,637 N ROSEDALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.295474050599999, -76.668432301799996)",04/16/2012
0074 047,1604 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2990622489, -76.643546657399995)",04/13/2012
1464 093,1735 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.310744, -76.584209188700001)",09/10/2008
2350 019,804 N BENTALOU ST,EVERGREEN LAWN,9,WESTERN,"(39.297510342700001, -76.653675485299999)",07/26/2008
0126 002,502 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.294383654500002, -76.637332428299999)",02/10/2012
1537 020,1202 N MILTON AVE,BROADWAY EAST,13,EASTERN,"(39.305117657300002, -76.582932870899995)",10/31/2008
0279 089,320 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283799842000001, -76.641593717500001)",04/14/2010
0271 053,347 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.283183229899997, -76.651705860999996)",12/11/2007
2393 069,1104 ASHBURTON ST,WINCHESTER,9,SOUTHWESTERN,"(39.300905355099999, -76.662057872199995)",09/24/2007
4616 020,3104 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346233901799998, -76.6701985734)",07/19/2007
3303 033,3131 OAKFORD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.340409599499999, -76.666209920900002)",02/28/2012
0107 025,1923 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2961524185, -76.648108011399998)",06/04/2010
1506 002,2602 E HOFFMAN ST,BEREA,13,EASTERN,"(39.307129946700002, -76.581195805899995)",06/23/2011
5165C027,721 GLENWOOD AVE,WOODBOURNE-MCCABE,4,NORTHERN,"(39.353101456600001, -76.605872558100003)",05/18/2012
4626A044,4681 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3442801805, -76.669900518999995)",07/25/2008
4620 083,3325 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.343826039900001, -76.672480098799994)",01/07/2013
3347 032,2527 OSWEGO AVE,GREENSPRING,6,NORTHERN,"(39.336558128199997, -76.660008739899993)",03/25/2010
4058 019,619 MCKEWIN AVE,WAVERLY,14,NORTHERN,"(39.332734119599998, -76.606845691499998)",12/07/2011
3445 012,2222 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.313360279100003, -76.631705512300002)",08/12/2013
2309 027,1718 N WARWICK AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.307974705100001, -76.6573749752)",10/03/2003
0008 019,1736 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.308726791700003, -76.646680921599994)",07/27/2007
6288 028,3512 MOUNT PLEASANT AVE,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,"(39.291024293600003, -76.567787804999995)",07/13/2011
4007 027,1926 SHERWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312638398099999, -76.601058642599995)",01/25/2008
0185 203,116 N CARLTON ST,POPPLETON,9,WESTERN,"(39.290432096399996, -76.636259669599994)",08/08/2007
3207 081,1929 HERBERT ST,MONDAWMIN,7,WESTERN,"(39.310209159800003, -76.649156912999999)",07/26/2006
0411 028,723 N FREMONT AVE,UPTON,11,CENTRAL,"(39.297505831199999, -76.633254536899997)",10/15/2007
0077 011,1327 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299837571799998, -76.639611987600006)",12/08/2004
1782 051,1931 EASTERN AVE,FELLS POINT,1,SOUTHEASTERN,"(39.285590299399999, -76.589000249600005)",08/01/2012
2482B002,2904 EDMONDSON AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.294674305000001, -76.665185760200004)",10/02/2006
0769 074,1115 SARGEANT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282781220499999, -76.633377340199999)",08/01/2013
1118 046,1626 N BROADWAY,OLIVER,12,EASTERN,"(39.309164833499999, -76.595309890600006)",11/01/2005
4612 020B,4924 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3475592582, -76.672237161300004)",09/20/2007
4157 001,1901 N WOLFE ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.312793253899997, -76.591475030699996)",09/13/2013
0415 041,522 DOLPHIN ST,UPTON,11,CENTRAL,"(39.300603085799999, -76.628665013800003)",05/04/2010
2903 014,3606 SPRINGDALE AVE,FOREST PARK,6,NORTHWESTERN,"(39.324202922799998, -76.677900223600005)",08/20/2011
3012 005,2806 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,"(39.310568603, -76.664660520300004)",11/23/2011
1474 017F,1611 N PORT ST,BROADWAY EAST,13,EASTERN,"(39.309491534899998, -76.583472334500001)",03/30/2011
1650 025,532 N CASTLE ST,CARE,13,EASTERN,"(39.297300284499997, -76.588879992499997)",02/03/2012
1120 015,409 E FEDERAL ST,GREENMOUNT WEST,12,EASTERN,"(39.307720957299999, -76.6103757817)",02/21/2013
2170B066,2551 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288111892000003, -76.657860234500006)",05/19/2011
0120 009,522 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.294433568000002, -76.645801991100001)",04/16/2008
0329 010,1818 MCCULLOH ST,DRUID HEIGHTS,11,CENTRAL,"(39.306722362099997, -76.633389624800003)",02/01/2008
3457 039,2412 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.314826138400001, -76.631719972799999)",04/27/2010
4012 009,2030 KENNEDY AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313869373499998, -76.604104960200004)",01/31/2013
1590 023,945 N PATTERSON PARK AVE,MILTON-MONTFORD,13,EASTERN,"(39.301815320599999, -76.585064031800002)",01/20/2005
4616 022,3108 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346159554099998, -76.670306352300003)",07/13/2011
1116 068,1635 N SPRING ST,OLIVER,12,EASTERN,"(39.309083387000001, -76.598869494300004)",09/28/2012
0288 057,426 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.282324161699997, -76.652017600700006)",01/06/2009
1478 024,1823 E FEDERAL ST,BROADWAY EAST,12,EASTERN,"(39.308460738699999, -76.592034406400003)",07/14/2006
0089 032,1329 W LAFAYETTE AVE,HARLEM PARK,9,WESTERN,"(39.2988003197, -76.639642689699997)",10/11/2012
2165 035,2452 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2879500859, -76.656131718099999)",11/13/2007
0251 009,1019 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.286506320000001, -76.634462690999996)",09/01/2006
3327A025,3653 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.330643720899999, -76.659314064300005)",01/09/2012
1161 037,1210 N EDEN ST,OLIVER,12,EASTERN,"(39.304420452599999, -76.599815491200005)",01/09/2008
4171 175,1963 N COLLINGTON AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.313972835000001, -76.587356361800005)",10/14/2011
1118 065,1622 E FEDERAL ST,OLIVER,12,EASTERN,"(39.308676036800001, -76.595754827700006)",08/10/2010
4623 065,4702 PIMLICO ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.345390607399999, -76.668807463899995)",02/16/2011
4812 063D,4610 PALL MALL ROAD,PARKLANE,6,NORTHERN,"(39.342590844599997, -76.665430465)",07/04/2008
4810 028,3004 DUPONT AVE,CYLBURN,6,NORTHERN,"(39.344411658699997, -76.666027448099996)",10/11/2013
3911 027,703 E 41ST ST,PEN LUCY,4,NORTHERN,"(39.339506068799999, -76.606149894500007)",01/31/2012
0224 031,1909 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.286961270900001, -76.647261924000006)",07/30/2010
6750E019A,6409 EASTBOURNE AVE,BROENING MANOR,1,SOUTHEASTERN,"(39.272879237200002, -76.536538089000004)",08/06/2013
2475C061,990 N FRANKLINTOWN ROAD,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.298839638600001, -76.667834243300007)",04/12/2013
0094 039,2025 RAYNER AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296705044900001, -76.650181512800003)",06/04/2009
3408 008,1535 CLIFTON AVE,PENN NORTH,7,WESTERN,"(39.313306176499999, -76.643924753700006)",03/22/2006
1158 004,1207 ENSOR ST,OLIVER,12,EASTERN,"(39.304376173500003, -76.603339125900007)",12/28/2011
2100 010,2619 WILKENS AVE,MILLHILL,9,SOUTHWESTERN,"(39.278522712899999, -76.656421213200005)",06/17/2011
4010G019,2118 AIKEN ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.314603074200001, -76.600192112200006)",07/16/2012
0106 104,616 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2956711924, -76.649966904300001)",06/03/2008
1590 012,923 N PATTERSON PARK AVE,MILTON-MONTFORD,13,EASTERN,"(39.301393367899998, -76.585037579100003)",11/29/2012
2201 057,2313 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.293947206600002, -76.653630535000005)",12/01/2009
0206 042,2007 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2878537283, -76.6489495525)",11/23/2010
